Year,Make,Model,Trim,Body,Transmission,Vin,Region,Condition,Odometer,Color,Interior,Seller,Mmr,Sellingprice,Profit,Profit Margin,Margin Tier,Sale Year,Sale Month,Sale Quarter,Month Label,Saledate
2009,Hyundai,Sonata,GLS,Sedan,automatic,5npet46c29h519363,California,38,76096,silver,gray,ak international inc,6200,7100,900,12.67605634,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Dodge,Charger,Base,Sedan,automatic,2b3ka43d79h530990,California,19,85078,gray,black,reliable credit associates inc,7550,7900,350,4.430379747,Low Margin,2014,12,4,2014-12,Tue Dec 23 2014 12:30:00
2009,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,2gcec29j091119866,California,29,182691,white,gray,farm credit leasing exchange inc,8975,8500,-475,-5.588235294,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2009,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf56xx9r048621,California,31,90584,blue,gray,high bid trading co inc,14250,13400,-850,-6.343283582,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Chevrolet,HHR,LS,Wagon,automatic,3gnca13b49s605939,California,29,62233,blue,black,century dealer services corp,5450,5500,50,0.9090909091,Low Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
2009,Jeep,Grand Cherokee,Laredo,Suv,automatic,1j8gr48k69c526154,California,34,88052,black,gray,tdaf remarketing,10950,11750,800,6.808510638,Medium Margin,2014,12,4,2014-12,Tue Dec 30 2014 12:30:00
2009,Dodge,Challenger,SE,Coupe,automatic,2b3lj44v99h522045,California,19,47177,red,black,santander consumer,14200,10750,-3450,-32.09302326,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2010,Volkswagen,Jetta,SportWagen TDI,Wagon,automatic,3vwpl7aj5am669169,California,,157622,white,black,bob baker volkswagen subaru,6325,7500,1175,15.66666667,High Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Dodge,Journey,SXT,Suv,automatic,3d4gg57v79t158752,California,38,72395,blue,black,santander consumer,7775,8900,1125,12.64044944,Medium Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2009,Jeep,Grand Cherokee,SRT-8,Suv,automatic,1j8hr78w49c506431,California,39,49573,red,black,specialized sales and leasing,29600,28750,-850,-2.956521739,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2009,BMW,X5,xDrive48i,Suv,automatic,5uxfe83569l308124,California,26,95483,black,black,lexus of chandler,17450,16500,-950,-5.757575758,Low Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:30:00
2009,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc46e59u029544,California,41,57804,silver,black,buyers auto sales,12900,14250,1350,9.473684211,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Acura,TL,Base,Sedan,automatic,19uua86259a022297,California,,57069,black,—,stanford car co,15600,17000,1400,8.235294118,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:30:00
2009,Mazda,CX-7,Sport,Suv,automatic,jm3er29l990218589,California,37,63303,red,gray,santander consumer,7625,9100,1475,16.20879121,High Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2008,chevrolet,2500,slv 4x2 ex work truck,,automatic,1gbhc29kx8e148069,California,28,137915,white,gray,premium auto wholesale,7300,10300,3000,29.12621359,High Margin,2014,12,4,2014-12,Thu Dec 18 2014 12:00:00
2009,Volvo,XC90,3.2,Suv,automatic,yv4cy982591499186,California,35,68957,gray,black,high bid trading co inc,13600,14500,900,6.206896552,Medium Margin,2014,12,4,2014-12,Wed Dec 17 2014 12:15:00
